rank,album,artist
1,"Hollywood's Bleeding",Post Malone
2,"My Turn",Lil Baby
3,Please Excuse Me For Being Antisocial,Roddy Ricch
4,Fine Line,Harry Styles
5,Folklore,Taylor Swift
6,Eternal Atake,Lil Uzi Vert
7,Shoot For The Stars Aim For The Moon,Pop Smoke
8,After Hours,The Weeknd
9,Legends Never Die,Juice WRLD
10,What You See Is What You Get,Luke Combs
11,"When We All Fall Asleep, Where Do We Go?",Billie Eilish
12,"Hamilton: An American Musical",Original Broadway Cast
13,"Frozen II Soundtrack"
14,YHLQMDLG,Bad Bunny
15,Lover,Taylor Swift
16,BLAME IT ON BABY,DaBaby
17,Over It,Summer Walker
18,"Goodbye & Good Riddance",Juice WRLD
19,KIRK.DaBaby
20,"MAP OF THE SOUL : 7",BTS
21,Music To Be Murdered By,Eminem
22,This One's For You,Luke Combs
23,"beerbongs & bentleys",Post Malone
24,Divinely Uninspired To A Hellish Extent,Lewis Capaldi
25,Greatest Hits,Queen
26,Changes,Justin Bieber
27,Manic,Halsey
28,Dark Lane Demo Tapes,Drake
29,If I Know Me,Morgan Wallen
30,AI YoungBoy 2,YoungBoy Never Broke Again
31,A Love Letter To You 4,Trippie Redd
32,ASTROWORLD,Travis Scott
33,Pray 4 Love,Rod Wave
34,Death Race For Love Juice,WRLD
35,Ghetto Gospel,Rod Wave
36,Chilombo,Jhene Aiko
37,Hot Pink,Doja Cat
38,So Much Fun,Young Thug
39,JACKBOYS,JACKBOYS
40,Scorpion,Drake
41,Cuz I Love You,Lizzo
42,Dont Smile At Me,Billie Eilish
43,The GOAT,Polo G
44,Diamonds,Elton John
45,Stoney,Post Malone
46,Wunna,Gunna
47,High Off Life,Future
48,"Artist 2.0",A Boogie Wit da Hoodie
49,"Meet The Woo, V.2",Pop Smoke
50,Chromatica,Lady Gaga
51,Indigo,Chris Brown
52,Time Served,Moneybagg Yo
53,Rumours,Fleetwood Mac
54,"Fully Loaded: God's Country",Blake Shelton
55,Free Spirit,Khalid
56,Romance,Camila Cabello
57,"Thank U, Next",Ariana Grande
58,Suga,Megan Thee Stallion
59,"?",XXXTENTACION
60,"Legend: The Best Of Bob Marley And The Wailers",Bob Marley And The Wailers
61,"No.6 Collaborations Project",Ed Sheeran
62,Future Nostalgia,Dua Lipa
63,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival Featuring John Fogerty
64,Circles,Mac Miller
65,÷ (Divide),Ed Sheeran
66,Abbey Road,The Beatles
67,Traveller,Chris Stapleton
68,American Teen,Khalid
69,"Just Cause Y'all Waited 2",Lil Durk
70,True 2 Myself,Lil Tjay
71,Journey's Greatest Hits,Journey
72,Certified Hitmaker,Lil Mosey
73,Dreamville & J. Cole: Revenge Of The Dreamers III,Various Artists
74,Luv Is Rage 2,Lil Uzi Vert
75,The Search,NF
76,1,The Beatles
77,Perfect Ten,Mustard
78,Invasion Of Privacy,Cardi B
79,7 (EP),Lil Nas X
80,The Greatest Showman Soundtrack
81,Greatest Hits,Tom Petty And The Heartbreakers
82,Moana Soundtrack
83,GIRL,Maren Morris
84,"DAMN.",Kendrick Lamar
85,Take Care,Drake
86,"good kid, m.A.A.d city",Kendrick Lamar
87,Hoodie SZN,A Boogie Wit da Hoodie
88,Greatest Hits,2Pac
89,Back In Black,"AC/DC"
90,Shawn Mendes,Shawn Mendes
91,9,Jason Aldean
92,"The Kids Are Coming (EP)",Tones And I
93,Look Up Child,Lauren Daigle
94,"Dan + Shay","Dan + Shay"
95,Starboy,The Weeknd
96,2014 Forest Hills Drive,"J. Cole"
97,Beauty Behind The Madness,The Weeknd
98,Views,Drake
99,Sweet Action,Jack Harlow
100,SOUTHSIDE,Sam Hunt
101,Rare,Selena Gomez
102,Die A Legend,Polo G
103,X 100PRE,Bad Bunny
104,Melly vs. Melvin,YNW Melly
105,1989,Taylor Swift
106,Evolve,Imagine Dragons
107,Baby On Baby,DaBaby
108,17,XXXTENTACION
109,Birds In The Trap Sing McKnight,Travis Scott
110,Ctrl,SZA
111,Thriller,Michael Jackson
112,Experiment,Kane Brown
113,"Still Flexin, Still Steppin",YoungBoy Never Broke Again
114,Drip Harder,"Lil Baby & Gunna"
115,"Quality Control: Control The Streets, Volume 2",Various Artists
116,"Their Greatest Hits 1971-1975",Eagles
117,The Essential Billy Joel,Billy Joel
118,Greatest Hits,The Notorious B.I.G.
119,Heaven Or Hell,Don Toliver
120,More Life,Drake
121,Top,YoungBoy Never Broke Again
122,Chixtape 5,Tory Lanez
123,We Love You Tecca,Lil Tecca
124,Kane Brown,Kane Brown
125,Old Dominion,Old Dominion
126,PTSD,G Herbo
127,Funeral,Lil Wayne
128,Championships,Meek Mill
129,Nevermind,Nirvana
130,Blonde,Frank Ocean
131,Perception,NF
132,21,Adele
133,Swimming,Mac Miller
134,Savage Mode II,21 Savage & Metro Boomin
135,Victory Lap,Nipsey Hussle
136,"Sounds Of Summer: The Very Best Of The Beach Boys",The Beach Boys
137,A Star Is Born (Soundtrack),Lady Gaga & Bradley Cooper
138,Greatest Hits,"Bob Seger & The Silver Bullet Band"
139,"Greatest Hits So Far...",Zac Brown Band
140,Collection One,SAINt JHN
141,The Essential Elvis Presley,Elvis Presley
142,"Doo-Wops & Hooligans",Bruno Mars
143,Happiness Begins,Jonas Brothers
144,Ultimate Sinatra,Frank Sinatra
145,"H.E.R.","H.E.R."
146,Here And Now,Kenny Chesney
147,Christmas,Michael Buble
148,It Was Good Until It Wasn't,Kehlani
149,The Essential Michael Jackson,Michael Jackson
150,Blurryface,twenty one pilots
151,IGOR,"Tyler, The Creator"
152,Emmanuel,Anuel AA
153,ANTI,Rihanna
154,Tickets To My Downfall,Machine Gun Kelly
155,"Slime & B","Chris Brown & Young Thug"
156,"Love Yourself: Answer",BTS
157,Good Intentions,NAV
158,The Best Of Pentatonix Christmas,Pentatonix
159,Nothing Was The Same,Drake
160,"I'm Him",Kevin Gates
161,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates
162,The Eminem Show,Eminem
163,No Pressure,Logic
164,Center Point Road,Thomas Rhett
165,"Greatest Hits: The Ultimate Collection",Bon Jovi
166,Appetite For Destruction,"Guns N' Roses"
167,A Decade Of Destruction,Five Finger Death Punch
168,Merry Christmas,Mariah Carey
169,Frozen Soundtrack
170,"Curtain Call: The Hits",Eminem
171,38 Baby 2,YoungBoy Never Broke Again
172,All Time Greatest Hits,Lynyrd Skynyrd
173,Greatest Hits,Red Hot Chili Peppers
174,Las Que No Iban A Salir,Bad Bunny
175,50 Number Ones,George Strait
176,Born To Die,Lana Del Rey
177,Metallica,Metallica
178,Homesick (EP),Trevor Daniel
179,Detroit 2,Big Sean
180,Kid Krow,Conan Gray
181,Harder Than Ever,Lil Baby
182,The New Toronto 3,Tory Lanez
183,Goldmine,Gabby Barrett
184,B4 The Storm,Internet Money
185,Night Visions,Imagine Dragons
186,"Man On The Moon: The End Of Day",Kid Cudi
187,The Christmas Song,Nat King Cole
188,C A L M,5 Seconds Of Summer
189,The Album,BLACKPINK
190,F*ck Love,The Kid LAROI
191,Golden Hour,Kacey Musgraves
192,T R A P S O U L,Bryson Tiller
193,Ella Mai,Ella Mai
194,In The Lonely Hour,Sam Smith
195,Where The Light Is,Surfaces
196,Wildcard,Miranda Lambert
197,JESUS IS KING (Soundtrack),Kanye West
198,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio
199,Ordinary Man,Ozzy Osbourne
200 ,"NCT #127: Neo Zone, The 2nd Album",NCT 127
