rank,song,artist
1,"Levitating","Dua Lipa"
2,"Save Your Tears","The Weeknd & Ariana Grande"
3,"Blinding Lights","The Weeknd"
4,"Mood","24kGoldn Featuring iann dior"
5,"Good 4 U","Olivia Rodrigo"
6,"Kiss Me More","Doja Cat Featuring SZA"
7,"Leave The Door Open","Silk Sonic (Bruno Mars & Anderson .Paak)"
8,"Drivers License","Olivia Rodrigo"
9,"Montero (Call Me By Your Name)","Lil Nas X"
10,"Peaches","Justin Bieber Featuring Daniel Caesar & Giveon"
11,"Butter","BTS"
12,"Stay","The Kid LAROI & Justin Bieber"
13,"Deja Vu","Olivia Rodrigo"
14,"Positions","Ariana Grande"
15,"Bad Habits","Ed Sheeran"
16,"Heat Waves","Glass Animals"
17,"Without You","The Kid LAROI"
18,"Forever After All","Luke Combs"
19,"Go Crazy","Chris Brown & Young Thug"
20,"Astronaut In The Ocean","Masked Wolf"
21,"34+35","Ariana Grande Feat. Doja Cat & Megan Thee Stallion"
22,"What You Know Bout Love","Pop Smoke"
23,"My Ex's Best Friend","Machine Gun Kelly X blackbear"
24,"Industry Baby","Lil Nas X & Jack Harlow"
25,"Therefore I Am","Billie Eilish"
26,"Up","Cardi B"
27,"Fancy Like","Walker Hayes"
28,"Dakiti","Bad Bunny & Jhay Cortez"
29,"Best Friend","Saweetie Featuring Doja Cat"
30,"Rapstar","Polo G"
31,"Heartbreak Anniversary","Giveon"
32,"For The Night","Pop Smoke Featuring Lil Baby & DaBaby"
33,"Calling My Phone","Lil Tjay Featuring 6LACK"
34,"Beautiful Mistakes","Maroon 5 Featuring Megan Thee Stallion"
35,"Holy","Justin Bieber Featuring Chance The Rapper"
36,"On Me","Lil Baby"
37,"You Broke Me First.","Tate McRae"
38,"Traitor","Olivia Rodrigo"
39,"Back In Blood","Pooh Shiesty Featuring Lil Durk"
40,"I Hope","Gabby Barrett Featuring Charlie Puth"
41,"Dynamite","BTS"
42,"Wockesha","Moneybagg Yo"
43,"You Right","Doja Cat & The Weeknd"
44,"Beat Box","SpotemGottem Featuring Pooh Shiesty Or DaBaby"
45,"Laugh Now Cry Later","Drake Featuring Lil Durk"
46,"Need To Know","Doja Cat"
47,"Wants And Needs","Drake Featuring Lil Baby"
48,"Way 2 Sexy","Drake Featuring Future & Young Thug"
49,"Telepatia","Kali Uchis"
50,"Whoopty","CJ"
51,"Lemonade","Internet Money & Gunna Featuring Don Toliver & NAV"
52,"Good Days","SZA"
53,"Starting Over","Chris Stapleton"
54,"Body","Megan Thee Stallion"
55,"Willow","Taylor Swift"
56,"Bang!","AJR"
57,"Better Together","Luke Combs"
58,"You're Mines Still","Yung Bleu Featuring Drake"
59,"Every Chance I Get","DJ Khaled Featuring Lil Baby & Lil Durk"
60,"Essence","Wizkid Featuring Justin Bieber & Tems"
61,"Chasing After You","Ryan Hurd With Maren Morris"
62,"The Good Ones","Gabby Barrett"
63,"Leave Before You Love Me","Marshmello X Jonas Brothers"
64,"Glad You Exist","Dan + Shay"
65,"Lonely","Justin Bieber & benny blanco"
66,"Beggin'","Maneskin"
67,"Streets","Doja Cat"
68,"What's Next","Drake"
69,"Famous Friends","Chris Young + Kane Brown"
70,"Lil Bit","Nelly & Florida Georgia Line"
71,"Thot Shit","Megan Thee Stallion"
72,"Late At Night","Roddy Ricch"
73,"Kings & Queens","Ava Max"
74,"Anyone","Justin Bieber"
75,"Track Star","Mooski"
76,"Time Today","Moneybagg Yo"
77,"Cry Baby","Megan Thee Stallion Featuring DaBaby"
78,"All I Want For Christmas Is You","Mariah Carey"
79,"No More Parties","Coi Leray Featuring Lil Durk"
80,"What's Your Country Song","Thomas Rhett"
81,"One Too Many","Keith Urban Duet With P!nk"
82,"Arcade","Duncan Laurence"
83,"Yonaguni","Bad Bunny"
84,"Good Time","Niko Moon"
85,"If I Didn't Love You","Jason Aldean & Carrie Underwood"
86,"Knife Talk","Drake Featuring 21 Savage & Project Pat"
87,"pov","Ariana Grande"
88,"Just The Way","Parmalee x Blanco Brown"
89,"Take My Breath","The Weeknd"
90,"We're Good","Dua Lipa"
91,"Hell Of A View","Eric Church"
92,"Rockin' Around The Christmas Tree","Brenda Lee"
93,"Put Your Records On","Ritt Momney"
94,"Happier Than Ever","Billie Eilish"
95,"Single Saturday Night","Cole Swindell"
96,"Things A Man Oughta Know","Lainey Wilson"
97,"Throat Baby (Go Baby)","BRS Kash"
98,"Tombstone","Rod Wave"
99,"Drinkin' Beer. Talkin' God. Amen.","Chase Rice Featuring Florida Georgia Line"
100,"Todo de Ti","Rauw Alejandro"
