rank,song,artist
1,"Last Night","Morgan Wallen"
2,"Flowers","Miley Cyrus"
3,"Kill Bill","SZA"
4,"Anti-Hero","Taylor Swift"
5,"Creepin'","Metro Boomin, The Weeknd & 21 Savage"
6,"Calm Down","Rema & Selena Gomez"
7,"Die For You","The Weeknd & Ariana Grande"
8,"Fast Car","Luke Combs"
9,"Snooze","SZA"
10,"I'm Good (Blue)","David Guetta & Bebe Rexha"
11,"Unholy","Sam Smith & Kim Petras"
12,"You Proof","Morgan Wallen"
13,"Something In The Orange","Zach Bryan"
14,"Rich Flex","Drake & 21 Savage"
15,"As It Was","Harry Styles"
16,"Rock And A Hard Place","Bailey Zimmerman"
17,"Under The Influence","Chris Brown"
18,"Cruel Summer","Taylor Swift"
19,"Thinkin' Bout Me","Morgan Wallen"
20,"Boy's A Liar, Pt. 2","PinkPantheress & Ice Spice"
21,"Favorite Song","Toosii"
22,"Thought You Should Know","Morgan Wallen"
23,"Thank God","Kane Brown With Katelyn Brown"
24,"Sure Thing","Miguel"
25,"All My Life","Lil Durk Featuring J. Cole"
26,"Ella Baila Sola","Eslabon Armado X Peso Pluma"
27,"Karma","Taylor Swift Featuring Ice Spice"
28,"Just Wanna Rock","Lil Uzi Vert"
29,"Cuff It","Beyoncé"
30,"Vampire","Olivia Rodrigo"
31,"Fukumean","Gunna"
32,"Lavender Haze","Taylor Swift"
33,"Players","Coi Leray"
34,"Need A Favor","Jelly Roll"
35,"Dance The Night","Dua Lipa"
36,"Love You Anyway","Luke Combs"
37,"One Thing At A Time","Morgan Wallen"
38,"Superhero (Heroes & Villains)","Metro Boomin, Future & Chris Brown"
39,"Bad Habit","Steve Lacy"
40,"La Bebe","Yng Lvcas x Peso Pluma"
41,"Golden Hour","JVKE"
42,"Religiously","Bailey Zimmerman"
43,"Spin Bout U","Drake & 21 Savage"
44,"Cupid","Fifty Fifty"
45,"Search & Rescue","Drake"
46,"Barbie World","Nicki Minaj & Ice Spice With Aqua"
47,"Next Thing You Know","Jordan Davis"
48,"Escapism","RAYE Featuring 070 Shake"
49,"Un x100to","Grupo Frontera X Bad Bunny"
50,"Until I Found You","Stephen Sanchez"
51,"Shirt","SZA"
52,"Paint The Town Red","Doja Cat"
53,"Made You Look","Meghan Trainor"
54,"Wait In The Truck","HARDY Featuring Lainey Wilson"
55,"All I Want For Christmas Is You","Mariah Carey"
56,"Everything I Love","Morgan Wallen"
57,"Chemical","Post Malone"
58,"Heart Like A Truck","Lainey Wilson"
59,"Going, Going, Gone","Luke Combs"
60,"Rockin' Around The Christmas Tree","Brenda Lee"
61,"Dancin' In The Country","Tyler Hubbard"
62,"Daylight","David Kushner"
63,"Lift Me Up","Rihanna"
64,"Eyes Closed","Ed Sheeran"
65,"TQG","Karol G x Shakira"
66,"Try That In A Small Town","Jason Aldean"
67,"Tennessee Orange","Megan Moroney"
68,"Jingle Bell Rock","Bobby Helms"
69,"Princess Diana","Ice Spice & Nicki Minaj"
70,"Tomorrow 2","GloRilla & Cardi B"
71,"A Holly Jolly Christmas","Burl Ives"
72,"Where She Goes","Bad Bunny"
73,"Bebe Dame","Fuerza Regida X Grupo Frontera"
74,"I Remember Everything","Zach Bryan Featuring Kacey Musgraves"
75,"I Like You (A Happier Song)","Post Malone Featuring Doja Cat"
76,"What It Is (Block Boy)","Doechii Featuring Kodak Black"
77,"Nobody Gets Me","SZA"
78,"Rich Men North Of Richmond","Oliver Anthony Music"
79,"Super Freaky Girl","Nicki Minaj"
80,"Dial Drunk","Noah Kahan With Post Malone"
81,"What Was I Made For?","Billie Eilish"
82,"Seven","Jung Kook Featuring Latto"
83,"Wait For U","Future Featuring Drake & Tems"
84,"Last Christmas","Wham!"
85,"Handle On You","Parker McCollum"
86,"Por Las Noches","Peso Pluma"
87,"Memory Lane","Old Dominion"
88,"Area Codes","Kaliii"
89,"Bury Me In Georgia","Kane Brown"
90,"PRC","Peso Pluma X Natanael Cano"
91,"What My World Spins Around","Jordan Davis"
92,"Ain't That Some","Morgan Wallen"
93,"Wild As Her","Corey Kent"
94,"Peaches & Eggplants","Young Nudy Featuring 21 Savage"
95,"I Wrote The Book","Morgan Wallen"
96,"Bzrp Music Sessions, Vol. 53","Bizarrap & Shakira"
97,"Meltdown","Travis Scott Featuring Drake"
98,"Put It On Da Floor Again","Latto Featuring Cardi B"
99,"Bloody Mary","Lady Gaga"
100,"Watermelon Moonshine","Lainey Wilson"
