rank,song,artist
1,"God's Plan","Drake"
2,"Perfect","Ed Sheeran"
3,"Meant To Be","Bebe Rexha & Florida Georgia Line"
4,"Havana","Camila Cabello Featuring Young Thug"
5,"rockstar","Post Malone Featuring 21 Savage"
6,"Psycho","Post Malone Featuring Ty Dolla $ign"
7,"I Like It","Cardi B, Bad Bunny & J Balvin"
8,"The Middle","Zedd, Maren Morris & Grey"
9,"In My Feelings","Drake"
10,"Girls Like You","Maroon 5 Featuring Cardi B"
11,"Nice For What","Drake"
12,"Lucid Dreams","Juice WRLD"
13,"Better Now","Post Malone"
14,"Finesse","Bruno Mars & Cardi B"
15,"Boo'd Up","Ella Mai"
16,"New Rules","Dua Lipa"
17,"Sad!","XXXTENTACION"
18,"Never Be The Same","Camila Cabello"
19,"Love Lies","Khalid & Normani"
20,"No Tears Left To Cry","Ariana Grande"
21,"Mine","Bazzi"
22,"Thunder","Imagine Dragons"
23,"Look Alive","BlocBoy JB Featuring Drake"
24,"Delicate","Taylor Swift"
25,"Yes Indeed","Lil Baby & Drake"
26,"Friends","Marshmello & Anne-Marie"
27,"Bad At Love","Halsey"
28,"Taste","Tyga Featuring Offset"
29,"Let You Down","NF"
30,"No Limit","G-Eazy Featuring A$AP Rocky & Cardi B"
31,"FEFE","6ix9ine Featuring Nicki Minaj & Murda Beatz"
32,"Tequila","Dan + Shay"
33,"Feel It Still","Portugal. The Man"
34,"MotorSport","Migos, Nicki Minaj & Cardi B"
35,"I Like Me Better","Lauv"
36,"Youngblood","5 Seconds Of Summer"
37,"Whatever It Takes","Imagine Dragons"
38,"Ric Flair Drip","Offset & Metro Boomin"
39,"I Fall Apart","Post Malone"
40,"Pray For Me","The Weeknd & Kendrick Lamar"
41,"Back To You","Selena Gomez"
42,"Sicko Mode","Travis Scott"
43,"Walk It Talk It","Migos Featuring Drake"
44,"Gucci Gang","Lil Pump"
45,"Him & I","G-Eazy & Halsey"
46,"In My Blood","Shawn Mendes"
47,"All The Stars","Kendrick Lamar & SZA"
48,"Stir Fry","Migos"
49,"Too Good At Goodbyes","Sam Smith"
50,"Love.","Kendrick Lamar Featuring Zacari"
51,"This Is America","Childish Gambino"
52,"Nonstop","Drake"
53,"Heaven","Kane Brown"
54,"Bodak Yellow (Money Moves)","Cardi B"
55,"Freaky Friday","Lil Dicky Featuring Chris Brown"
56,"Gummo","6ix9ine"
57,"Plug Walk","Rich The Kid"
58,"Wait","Maroon 5"
59,"Be Careful","Cardi B"
60,"Wolves","Selena Gomez X Marshmello"
61,"Bartier Cardi","Cardi B Featuring 21 Savage"
62,"God Is A Woman","Ariana Grande"
63,"Big Bank","YG Featuring 2 Chainz, Big Sean & Nicki Minaj"
64,"Sorry Not Sorry","Demi Lovato"
65,"How Long","Charlie Puth"
66,"Lights Down Low","MAX Featuring gnash"
67,"Young Dumb & Broke","Khalid"
68,"One Kiss","Calvin Harris & Dua Lipa"
69,"Natural","Imagine Dragons"
70,"You Make It Easy","Jason Aldean"
71,"Shape Of You","Ed Sheeran"
72,"I Get The Bag","Gucci Mane Featuring Migos"
73,"No Brainer","DJ Khaled Featuring Justin Bieber, Chance The Rapper & Quavo"
74,"Plain Jane","A$AP Ferg Featuring Nicki Minaj"
75,"Sky Walker","Miguel Featuring Travis Scott"
76,"Marry Me","Thomas Rhett"
77,"Eastside","Benny Blanco, Halsey & Khalid"
78,"Call Out My Name","The Weeknd"
79,"King's Dead","Jay Rock, Kendrick Lamar, Future & James Blake"
80,"Happier","Marshmello & Bastille"
81,"Te Bote","Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny"
82,"Simple","Florida Georgia Line"
83,"Lemon","NER*D & Rihanna"
84,"1-800-273-8255","Logic Featuring Alessia Cara & Khalid"
85,"Say Something","Justin Timberlake Featuring Chris Stapleton"
86,"I'm Upset","Drake"
87,"Get Along","Kenny Chesney"
88,"Moonlight","XXXTENTACION"
89,"What Lovers Do","Maroon 5 Featuring SZA"
90,"X","Nicky Jam x J Balvin"
91,"Outside Today","YoungBoy Never Broke Again"
92,"Trip","Ella Mai"
93,"Dura","Daddy Yankee"
94,"Changes","XXXTENTACION"
95,"Mercy","Brett Young"
96,"One Number Away","Luke Combs"
97,"Powerglide","Rae Sremmurd & Juicy J"
98,"IDGAF","Dua Lipa"
99,"Mi Gente","J Balvin & Willy William Featuring Beyonce"
100,"Believer","Imagine Dragons"
