rank,song,artist
1,"SOMEBODY THAT I USED TO KNOW","Gotye Featuring Kimbra"
2,"CALL ME MAYBE","Carly Rae Jepsen"
3,"WE ARE YOUNG","fun. Featuring Janelle Monae"
4,"PAYPHONE","Maroon 5 Featuring Wiz Khalifa"
5,"LIGHTS","Ellie Goulding"
6,"GLAD YOU CAME","The Wanted"
7,"STRONGER (WHAT DOESN'T KILL YOU)","Kelly Clarkson"
8,"WE FOUND LOVE","Rihanna Featuring Calvin Harris"
9,"STARSHIPS","Nicki Minaj"
10,"WHAT MAKES YOU BEAUTIFUL","One Direction"
11,"WILD ONES","Flo Rida Featuring Sia"
12,"SET FIRE TO THE RAIN","Adele"
13,"SEXY AND I KNOW IT","LMFAO"
14,"SOME NIGHTS","fun."
15,"WIDE AWAKE","Katy Perry"
16,"GOOD FEELING","Flo Rida"
17,"WHISTLE","Flo Rida"
18,"ONE MORE NIGHT","Maroon 5"
19,"DRIVE BY","Train"
20,"THE MOTTO","Drake Featuring Lil Wayne"
21,"WHERE HAVE YOU BEEN","Rihanna"
22,"EVERYBODY TALKS","Neon Trees"
23,"TAKE CARE","Drake Featuring Rihanna"
24,"TITANIUM","David Guetta Featuring Sia"
25,"I WON'T GIVE UP","Jason Mraz"
26,"IT WILL RAIN","Bruno Mars"
27,"MERCY","Kanye West, Big Sean, Pusha T, 2 Chainz"
28,"BOYFRIEND","Justin Bieber"
29,"PARTY ROCK ANTHEM","LMFAO Featuring Lauren Bennett & GoonRock"
30,"TOO CLOSE","Alex Clare"
31,"PART OF ME","Katy Perry"
32,"YOUNG, WILD & FREE","Snoop Dogg & Wiz Khalifa Featuring Bruno Mars"
33,"WE ARE NEVER EVER GETTING BACK TOGETHER","Taylor Swift"
34,"AS LONG AS YOU LOVE ME","Justin Bieber Featuring Big Sean"
35,"TURN ME ON","David Guetta Featuring Nicki Minaj"
36,"MOVES LIKE JAGGER","Maroon 5 Featuring Christina Aguilera"
37,"BLOW ME (ONE LAST KISS)","P!nk"
38,"GOOD TIME","Owl City & Carly Rae Jepsen"
39,"GIVE YOUR HEART A BREAK","Demi Lovato"
40,"NI**AS IN PARIS","Jay Z Kanye West"
41,"THE ONE THAT GOT AWAY","Katy Perry"
42,"FEEL SO CLOSE","Calvin Harris"
43,"SOMEONE LIKE YOU","Adele"
44,"SCREAM","Usher"
45,"RACK CITY","Tyga"
46,"DOMINO","Jessie J"
47,"GANGNAM STYLE","PSY"
48,"INTERNATIONAL LOVE","Pitbull Featuring Chris Brown"
49,"HOME","Phillip Phillips"
50,"WITHOUT YOU","David Guetta Featuring Usher"
51,"ASS BACK HOME","Gym Class Heroes Featuring Neon Hitch"
52,"WANTED","Hunter Hayes"
53,"DRUNK ON YOU","Luke Bryan"
54,"NO LIE","2 Chainz Featuring Drake"
55,"WANT U BACK","Cher Lloyd"
56,"DON'T WAKE ME UP","Chris Brown"
57,"DANCE (A$$)","Big Sean Featuring Nicki Minaj"
58,"SPRINGSTEEN","Eric Church"
59,"BROKENHEARTED","Karmin"
60,"NOT OVER YOU","Gavin DeGraw"
61,"STEREO HEARTS","Gym Class Heroes Featuring Adam Levine"
62,"BACK IN TIME","Pitbull"
63,"WORK OUT","J. Cole"
64,"RUMOUR HAS IT","Adele"
65,"LET'S GO","Calvin Harris Featuring Ne-Yo"
66,"GOOD GIRL","Carrie Underwood"
67,"PONTOON","Little Big Town"
68,"HO HEY","The Lumineers"
69,"PARADISE","Coldplay"
70,"BLOWN AWAY","Carrie Underwood"
71,"ROLLING IN THE DEEP","Adele"
72,"CLIMAX","Usher"
73,"WORK HARD, PLAY HARD","Wiz Khalifa"
74,"LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF)","Ne-Yo"
75,"POUND THE ALARM","Nicki Minaj"
76,"COME OVER","Kenny Chesney"
77,"HEART ATTACK","Trey Songz"
78,"DRANK IN MY CUP","Kirko Bangz"
79,"BIRTHDAY CAKE","Rihanna Featuring Chris Brown"
80,"SO GOOD","B.o.B"
81,"50 WAYS TO SAY GOODBYE","Train"
82,"RED SOLO CUP","Toby Keith"
83,"LOVE YOU LIKE A LOVE SONG","Selena Gomez & The Scene"
84,"TURN UP THE MUSIC","Chris Brown"
85,"DIE YOUNG","Ke$ha"
86,"5 O'CLOCK","T-Pain Featuring Wiz Khalifa & Lily Allen"
87,"A THOUSAND YEARS","Christina Perri"
88,"TAKE A LITTLE RIDE","Jason Aldean"
89,"YOU DA ONE","Rihanna"
90,"WE RUN THE NIGHT","Havana Brown Featuring Pitbull"
91,"IT'S TIME","Imagine Dragons"
92,"CASHIN' OUT","Ca$h Out"
93,"I DON'T WANT THIS NIGHT TO END","Luke Bryan"
94,"DIAMONDS","Rihanna"
95,"HARD TO LOVE","Lee Brice"
96,"SOMETHIN' 'BOUT A TRUCK","Kip Moore"
97,"ADORN","Miguel"
98,"FLY OVER STATES","Jason Aldean"
99,"EVEN IF IT BREAKS YOUR HEART","Eli Young Band"
100,"BURN IT DOWN","Linkin Park"
