rank,song,artist
1,"Thrift Shop","Macklemore & Ryan Lewis Featuring Wanz"
2,"Blurred Lines","Robin Thicke Featuring Pharrell Williams & T.I."
3,"Radioactive","Imagine Dragons"
4,"Harlem Shake","Baauer"
5,"Can't Hold Us","Macklemore Featuring Ray Dalton"
6,"Mirrors","Justin Timberlake"
7,"Just Give Me A Reason","Pink"
8,"When I Was Your Man","Bruno Mars"
9,"Cruise","Florida Georgia Line Featuring Nelly"
10,"Roar","Katy Perry"
11,"Locked Out Of Heaven","Bruno Mars"
12,"Ho Hey","The Lumineers"
13,"Stay","Rihanna Featuring Mikky Ekko"
14,"Get Lucky","Daft Punk Featuring Pharrell Williams"
15,"Royals","Lorde"
16,"I Knew You Were Trouble","Taylor Swift"
17,"We Can't Stop","Miley Cyrus"
18,"Wrecking Ball","Miley Cyrus"
19,"Wake Me Up","Avicii"
20,"Suit And Tie","Justin Timberlake Featuring Jay-Z"
21,"Cups","Anna Kendrick"
22,"Holy Grail","Jay-Z Featuring Justin Timberlake"
23,"Scream And Shout","will.i.am Featuring Britney Spears"
24,"Clarity","Zedd Featuring Foxes"
25,"Sail","Awolnation"
26,"Don't You Worry Child","Swedish House Mafia Featuring John Martin"
27,"Diamonds","Rihanna"
28,"I Love It","Icona Pop Featuring Charli XCX"
29,"Safe & Sound","Capital Cities"
30,"Treasure","Bruno Mars"
31,"The Way","Ariana Grande Featuring Mac Miller"
32,"Started From The Bottom","Drake"
33,"Come & Get It","Selena Gomez"
34,"Hold On, We're Going Home","Drake Featuring Majid Jordon"
35,"Daylight","Maroon 5"
36,"Feel This Moment","Pitbull Featuring Christina Aguilera"
37,"Applause","Lady GaGa"
38,"One More Night","Maroon 5"
39,"Love Me","Lil Wayne Featuring Drake & Future"
40,"My Songs Know What You Did In The Dark (Light Em Up)","Fall Out Boy"
41,"F**kin Problems","ASAP Rocky Featuring Drake"
42,"Beauty And A Beat","Justin Bieber"
43,"Same Love","Macklemore & Ryan Lewis Featuring Mary Lambert"
44,"Sweet Nothing","Calvin Harris Featuring Florence Welch"
45,"Summertime Sadness","Lana Del Rey"
46,"Home","Phillip Phillips"
47,"It's Time","Imagine Dragons"
48,"Power Trip","J. Cole Featuring Miguel"
49,"Girl On Fire","Alicia Keys"
50,"Heart Attack","Demi Lovato"
51,"Love Somebody","Maroon 5"
52,"I Will Wait","Mumford & Sons"
53,"Try","Pink"
54,"Wagon Wheel","Darius Rucker"
55,"Gangnam Style","Psy"
56,"I Need Your Love","Calvin Harris Featuring Ellie Goulding"
57,"Die Young","Kesha"
58,"Some Nights","Fun."
59,"Bad","Wale Featuring Tiara Thomas"
60,"Boys 'Round Here","Blake Shelton"
61,"Gone, Gone, Gone","Phillip Phillips"
62,"Demons","Imagine Dragons"
63,"Counting Stars","OneRepublic"
64,"I Cry","Flo Rida"
65,"Little Talks","Of Monsters And Men"
66,"The Other Side","Jason Derulo"
67,"Berzerk","Eminem"
68,"Catch My Breath","Kelly Clarkson"
69,"Crash My Party","Luke Bryan"
70,"Pour It Up","Rihanna"
71,"22","Taylor Swift"
72,"I Want Crazy","Hunter Hayes"
73,"The Fox","Ylvis"
74,"Best Song Ever","One Direction"
75,"The A Team","Ed Sheeran"
76,"Carry On","Fun."
77,"Highway Don't Care","Tim McGraw & Taylor Swift"
78,"That's My Kind Of Night","Luke Bryan"
79,"Swimming Pools (Drank)","Kendrick Lamar"
80,"Sure Be Cool If You Did","Blake Shelton"
81,"#Beautiful","Mariah Carey Featuring Miguel"
82,"Troublemaker","Olly Murs Featuring Flo Rida"
83,"Body Party","Ciara"
84,"Adorn","Miguel"
85,"Hall Of Fame","The Script Featuring Will.i.am"
86,"Let Me Love You","Ne-Yo"
87,"U.O.E.N.O.","Rocko"
88,"Next To Me","Emeli Sande"
89,"Mama's Broken Heart","Miranda Lambert"
90,"It Goes Like This","Thomas Rhett"
91,"Bugatti","Ace Hood Featuring Future & Rick Ross"
92,"Wanted","Hunter Hayes"
93,"Downtown","Lady Antebellum"
94,"Get Your Shine On","Florida Georgia Line"
95,"#thatPOWER","will.i.am Featuring Justin Bieber"
96,"Brave","Sara Bareilles"
97,"Let Her Go","Passenger"
98,"Runnin' Outta Moonlight","Randy Houser"
99,"I'm Different","2 Chainz"
100,"Still Into You","Paramore"
